id,dcb,rcl,juros,amortizacao,primario,dbp,rec_cor,desp_cor,investimentos,desp_total,rec_previdenciarias,inativos,rec_tributaria,obrig_fin,disp_caixa_bruta
ma2011,5027524895.85,8087595886.97,658845395.85,368212703.71,621550145.52,3282474089.8599997,10744608996.19,8386454662.73,982087858.66,9756853225.099998,257302117.09,772166059.43,4016388302.47,853328848.32,2382384554.05
ma2012,4597734062.32,8899986679.57,702747526.9699999,478227391.58,403342498.55,3812261975.01,12291591664.279999,9614666476.52,1139167292.38,11233205160.48,260899839.66,885373528.83,4539284541.62,988064606.79,2505055737.1
ma2013,4485912131.09,9145629337.11,464209141.91,1867986667.99,-308282882.9,4211915367.63,12579872191.21,10592667725.09,1597240117.52,14093110891.85,327470050.05,1031322730.57,5186648732.46,2299884813.97,1347585084
ma2014,5510707693.65,10147462439.59,255492506.34,250137069.77,630764905.25,4741858105.83,13898442046.51,11712579444.08,1694677196.59,13657393710.44,386263141.6,1224550426.69,5640440671.47,1168128447.09,4234798304.22
ma2015,7314129163.62,10712347552.03,346355827.63,422329500.03,-231277843.86,5546283106.51,14747951349,12770972414,997934051.3,14192235965.33,521536333.93,1452372993.69,6072521681,539131926.53,1122622774.17
ma2016,7051309013.64,12480062588.49,390918647.26,550670776.4,545206825.96,6092288809.59,17126401616.37,14136460487.71,1218654583.15,15917374158.96,570253332.26,1666054114.81,7102489669.33,577647135.52,1850165530.85
mg2008,60120982504.35,29242489414.13,2544018787.36,529544848.92,2971304919.37,14765497091.32,42378959652.96999,33601586387.269997,3740177483.5100007,39299362850.28,2062487299.85,5677144886.620001,27040370046.03,2577112230.24,3581745356.58
mg2009,58967869900.47,29118469548.08,2197015899.82,1098020566.36,1732670988.08,15230443949.44,41063482874.44,34329236121.27,3585387829.16,40263460915.06,2166461245.53,6050518828.5199995,26800687202.07,2048342674.24,3053625166.62
mg2010,67812919776.51,33179151679,2242732657.53,1237318657.82,1851098933.58,18013888843.19,47422585290.89001,39703443889.02,3988149063.25,45774594725.409996,2393899152.72,7494941908.360001,31745459346.8,1648884584.98,2928877728.98
mg2011,74423059167.44,37284183547.59,2568300507,1632101452.96,2756656223.9,20927023794.989998,52836665478.88999,48783746352.16,3292704264.67,54401076276.33,2705569807.79,8526865238.629999,35019944019.16,2474871199.69,3260802892.55
mg2012,79795836533.28,40371093300.8,2347645105.31,0,3068529846.03,23868435291.3,57546135222.48,55274150247.46,7587728422.46,62861878669.92,4098956503.54,9865133013.599998,38837435385.53999,2393452929.56,4122534331.23
mg2013,88077047137.85,43141298799.57,2666432325.27,5211297316.76,663729175.24,26735706770.230003,62612898817.3,61050095085.68,4275075844.34,71906529761.8,4027577816.29,11041345464.529999,43482387817.82,3574368474.79,5456063813.86
mg2014,93730545206.56,47644235435.77,2842738535.69,2901579400.2,86159755.68,30342771174.98,68323614735.78,66985777500.33,4168386425.62,75512924847.61,5119554599.97,13026381352.37,47074914854.66,3343258633.43,5013668450.49
mg2015,107383681895.65,51643235767.49,3309966453.74,3504239482.61,-3243577459.3,36269093411.590004,72766420236.08,78005765796.15,3186562514.6,85119036085.58,4885223029.43,16311362181.039999,48007295297.73,5667421543.38,2286274101.86
mg2016,113258470146.59,53731469131.32,1389033519.05,1516025584.37,-3249134549.81,39496574290.62,76620772719.92,83548473866.17,2769309138.61,88129098217.78,5307789196.31,18083814780.739998,52976823100.82,7459742463.9,2848447993.68
ms2008,6790177682.23,4829848169.35,180661152.10999998,358360360.48,678107233.94,1737565530.1699998,6870740751.45,5556147861.14,749552091.88,6677730357.030001,182572431.03,724428441.21,4626355803.2699995,601380862.24,1401305764.63
ms2009,6596219042.87,4886838481.02,182669320.83,0,457426905.05,1972535502.53,6977155190.52,6156912047.65,527089792.57,7153681107.96,207646668,866304871.82,4622041837.51,614316667.06,1273411106.26
ms2010,7212143380.29,5210121273.05,164461466.41,425307015.76,81091592.28,2284718687.9700003,7535406555.889999,6830726300.63,1020973762.66,8287760062.55,237067013.1,988928440.85,5067531055.419999,738178597.57,1091567052.37
ms2011,7689662900.04,5993668420.03,190355032.64000002,492658056.72,29121776.89,2518444914.6499996,8719070003.340002,7817800714.940001,1079992378.8899999,9392410665.2,259659488.87,1126587997.67,5915571259.080001,761724580.49,1171057518.44
ms2012,7955809354.32,6599645664.14,214636644.10999998,572825565.71,561069510.73,2702116405.23,9529653301.939999,8643080436.529999,857071586.88,10084982226.23,279295604.13,1296994765.67,6385737003.530001,462175407.44,1189974305.86
ms2013,8421756060.86,7178004619.54,212863339.99,671292633.93,65815271.53,4193086331.06,10458241449.85,9753719631.48,1285713842.62,11712097316.76,307898508.6,1483131543.37,7163028109.14,668140954.81,1417383506.93
ms2014,8602359025.35,8099122726.47,210974752.85,836571164.23,-1253783.13,5685757077.05,11676468194.96,10681321076.4,1721966526.62,13284476545.74,339959018.19,1684962337.54,7971388015.9,267936832.68,571924188.12
ms2015,8801324237.52,8321250479.18,274716450.68,942041047.46,1560329778.87,5701574346.51,12010925695.86,12598752630.81,619813699.49,14161080789.52,1357520632.33,2091080453.78,8278397041.04,365356907.02,1189827476.24
ms2016,8848325565.61,9347981709.9,144651115.55,406664345.55,-178182713.87,6203812764.59,13484896738.14,10948823804.95,897560265.94,12261227227.62,1151531263.36,2350095191.01,8791001393.23,559993050.19,1346811945.93
mt2008,5388686682.26,6181776811.41,419966047.66999996,286110353.71999997,785503059.99,2912882338.19,8398318528.309999,6770432320.12,838073192.15,7906423049.17,629106676.88,616502226.43,4629173628.339999,965806513.45,1550272325.75
mt2009,4804391620.86,6467670585.89,473151601.78,350246996.6,120133688.12,3299717496.08,8873418409.63,7767421835.46,1172097205.07,9302250416.68,689281444.01,705957566.6,4867978763.16,728437085.76,1523688022.08
mt2010,4912549079.78,7099677148.16,578760685.23,295477267.02,721373044.89,3853789810.06,9681116941.170002,8649397120.380001,802225825.0899999,9750272365.5,886695853.36,857896957.44,5192572849.88,568062052.4,1121954100.88
mt2011,4620962852.6,7820251901.58,444628655.94,566749187.18,769613393.06,4548188402.820001,10871902575.640001,9581753114.329998,775585404.59,10929548944.729998,1047880775.45,1048462032.22,5749470749.54,728411406.42,712905141.01
mt2012,4536246177.86,8889944031.12,210875379.25,1708568353.7,2296625288.6,6097666399.92,13699867756.4,10579435583.1,853731785.8100001,13146255722.61,1252908101.5,1337891918.41,7708223166.360001,475143579.3,1279057658.56
mt2013,5656932714.53,9702677708.45,289133201,353751468.58,-658278189.6,5748229081.51,15618318726.06,9992094440.67,2363573141.93,12721613392.81,1482505405.09,1437724262.26,8790504020.62,697923411.15,1347521521.55
mt2014,6540958585.99,10927731310.28,367535096.17,371285369.97,-306741345.73,6765006769.17,21891311984.62,11522211387.91,1763733063.75,13734135118.61,339959018.19,1727705702.38,9900802803.57,616890137.84,1229280905.3
mt2015,7103590792.84,11644432985.92,472789703.36,596803938.66,297506911.41,7838078322.75,16378112061.71,12896472790.55,848903569.86,14353056092.63,1357520632.33,1930250884.1699998,8701314479.54,598051722.04,1106258269.07
